question,answer
What is the capital of Morocco?,Mozambique
Which is the National sport of Canada?,Lacrosse/Ice hockey
Which country invented paper?,China
Which is the continent with the most number of countries?,Africa
40+20 equals to ____________.,60
90 minutes amount to ___ hours?,1.5
Name the acid that is secreted in the stomach?,Hydrochloric acid
Where is ‘Great Bear Lake’ found in the world?,Canada 
Which is the first letter of the English alphabet?,A
What is the full form of  HTTP?,Hypertext Transfer Protocol
Which animal has a long nose known as trunk?,Elephant
Who is the writer of ‘Panchathantra’?,Vishnu Sharma
Which is the coldest planet in our solar system?,Neptune
The flag of which country has a non-quadrilateral shape?,Nepal
Which are the colors of the rings of the Olympic flag?,"Black, Red, Blue, Green, and Yellow"
Name the currency used in Japan?,Yen
"Name the fairy tale character, who is a poor thief and has a magic lamp?",Aladdin
What is Beri-Beri?,It is a disease caused due to the deficiency of Vitamin B
Who is the author of “God of Small Things”? a) Gabriel Garcia Marquez b) Aravind Adiga c) Arundhati Roy d) Victor Hugo,C. Arundhati Roy
What was the name of the ISRO mission to Mars?,Mangalyaan
Who was the inventor of the light bulb?,Thomas Alwa Edison
 What is the name of this beautiful monument?,Taj Mahal
Identify the Tennis Player.,Roger Federer
Name the galaxy our solar system is a part of?,Milky Way
Name a non-metal that conducts electricity?,Graphite
Who was the first president of the USA?,George Washington
What is currency of China?,Renminbi
What is the full form of BMP?,Bit Map Picture
Which part of a plant is called “kitchen of the plant”?,Leaf
How many days are there in a normal year?,365 (not a leap year)
3 raised to power 0 is ________.,1
Which number has no reciprocal?,1
How many Cricket world cups does India have?,2
Which place is known as the “Land of White Elephants”?,Thailand
What is the standard taste of the water?,Water is tasteless
When is World Health Day observed?,April 7
Who invented the Light Bulb?,Thomas Alva Edison
The capital of Andaman & Nicobar Islands is ______.,Port Blair
What is the art of folding paper to create shapes called?,Origami
Saturn has ____ moons.,82
Which is the biggest desert in the world?,Sahara desert
What do we get when water freezes?,Ice
Which blood cells in our body help to fight infections?,White Blood Cells
Sun sets in the _________.,West
What was the theme of World Health Day 2022?,"Our Planet, Our Health"
How many zeroes are there in one thousand?,Three
Which is the largest animal in the world?,Blue whale
Which animal guards our house?,Dog
Martyrs’ Day is celebrated every year on _.,30th January
Which country is known as “Gift of Nile”?,Egypt
Planet Earth is shaped like a __________.,Sphere
Who found the concept of “Gravitation” for the first time? a) Albert Einstein b) Charles Darwin c) Issac Newton d) V. Raman,C. Issac Newton
Who was the first President of the United States?,George Washington
Which is the first Asian country to orbit Mars?,India
Which country is known as the “land of the blue sky”?,Mongolia
When is World Hearing Day?,March 23
The book “Charlie and the Chocolate Factory” was written by _______.,Roald Dahl
Who is the author of ‘Origin of Species’?,Charles Darwin
Which country is known as the “Land of White Elephants”?,Thailand
Name the continent known as “Dark Continent”?,Africa
We chew food using our ____________.,Teeth
Monitor of a computer is an _______ device.,Output
A heptagon has _____ sides.,7
"Name the ocean in which the famous ship, Titanic, had sunk?",North Atlantic Ocean
In which planet do we live?,Earth
What is the name of ISRO’s new humanoid robot that will go to space next?,Vyommitra
Name the border of India and Pakistan.,Radcliffe Line 
The Earth is closest to the Sun during which season?,Summer
Name the smallest ocean in the world?,Arctic Ocean
Who wrote the drama “Julius Caesar”?,William Shakespeare
How many years are there in a millennium?,1000
What is the movement of Earth around the Sun resulting in change of seasons called?,Revolution
Which is the world’s fastest super computer?,Fugaku Supercomputer
Which famous explorer discovered Cuba?,Christopher Columbus
What is the approximate value of pi?,3.14
Which animal likes honey?,Bear
Which is the world’s largest flower?,Rafflesia
Which animal is known as “Ship of Desert”?,C. Camel
Name a commonly found reptile?,Lizard
Who is Mickey Mouse? a) Actor b) Scientist c)  Cartoon Character d) Doctor,C. Cartoon Character
How many sides does an octagon have?,8
How many years are there in a century?,Hundred
What is the capital of Philippines?,Manila
The air we breathe is majorly composed of which gas?,Nitrogen
 Thiruvananthapuram is the capital of _.,Kerala
Which number is neither prime nor composite?,1
A lion lives in a ______.,Den
Which is the most spoken language in the world?,Mandarin Chinese
Who is the king of the jungle?,B. Lion
Who invented dynamite?,Alfred Nobel
There are 12 players in a cricket team. True or False?,False (There are 11 players in a cricket team)
Which is the longest bone in the human body?,Femur (thigh bone)
Name the vitamin that helps to heal wounds?,Vitamin C
Which instrument is used to measure Atmospheric Pressure?,Barometer
Which month has the least number of days?,February
‘Stars and Stripes’ is the nickname of the flag of which country?,United States of America
Which animal has a hump on its back?,Camel
What is the smallest two digit number?,10
Football was introduced as a competitive game in Olympics in year –,1908
Which country won the first T20 world cup?,India
All tigers have yellow eyes. True or False?,TRUE
How many sides are there in a pentagon?,Five
In which direction does the sunrise?,East
What is Ablutophobia?,It is the Fear of Bathing
Which is the most widely spoken language in the world?,Mandarin (Chinese)
"Chameleons have extremely long tongues, sometimes as long as their bodies. True or False?",TRUE
Which fairy tale character meets a Big Bad wolf while going to visit her grandmother in the woods?,Little Red Riding Hood
Which is the loudest animal on Earth?,Sperm whale
Name the smallest planet in our solar system?,Mercury
On whose memory Nobel Prize is awarded?,Alfred Nobel
